GEOID,scenario,dest_id,dest_name,dest_type,travel_time_min,reachable
13121006000,rail_only,emory,Emory,education,NA,FALSE
13121006000,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121006000,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121006000,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121006000,bus_rail,midtown,Midtown,job_center,26.15,TRUE
13121006000,bus_rail,downtown,Downtown,job_center,8.616666666666667,TRUE
13121006000,bus_rail,gatech,Georgia Tech,education,25.216666666666665,TRUE
13121006000,bus_rail,emory,Emory,education,76.23333333333333,TRUE
13121006000,bus_rail,grady,Grady Memorial Hospital,hospital,12.316666666666666,TRUE
13121006000,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,50.7,TRUE
13121006000,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121003900,rail_only,midtown,Midtown,job_center,NA,FALSE
13121003900,rail_only,downtown,Downtown,job_center,1,TRUE
13121003900,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121003900,rail_only,emory,Emory,education,NA,FALSE
13121003900,rail_only,grady,Grady Memorial Hospital,hospital,2,TRUE
13121003900,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121003900,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121003900,bus_rail,midtown,Midtown,job_center,12.766666666666667,TRUE
13121003900,bus_rail,downtown,Downtown,job_center,1,TRUE
13121003900,bus_rail,gatech,Georgia Tech,education,6.383333333333334,TRUE
13121003900,bus_rail,emory,Emory,education,70.6,TRUE
13121003900,bus_rail,grady,Grady Memorial Hospital,hospital,2,TRUE
13121003900,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,33.43333333333333,TRUE
13121003900,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121005300,rail_only,midtown,Midtown,job_center,NA,FALSE
13121005300,rail_only,downtown,Downtown,job_center,NA,FALSE
13121005300,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121005300,rail_only,emory,Emory,education,NA,FALSE
