GEOID,scenario,mean_tt,min_tt,max_tt,n_30,n_45,n_60
13121009407,bus_rail,6.677777777777778,4,9,6,6,6
13121009407,rail_only,6.75,4,9,4,4,4
13121009408,bus_rail,6.9944444444444445,4,9.233333333333333,6,6,6
13121009408,rail_only,6.75,4,9,4,4,4
13121009409,bus_rail,27.319444444444443,8.833333333333334,43.5,3,6,6
13121009409,rail_only,NA,NA,NA,0,0,0
13121009410,bus_rail,23.455555555555556,7,89.5,5,5,5
13121009410,rail_only,9.75,7,12,4,4,4
13121009411,bus_rail,30.875,9.233333333333333,56.083333333333336,3,4,6
13121009411,rail_only,NA,NA,NA,0,0,0
13121009501,bus_rail,39.102777777777774,0,134.26666666666668,3,5,5
13121009501,rail_only,NA,NA,NA,0,0,0
13121009503,bus_rail,39.04166666666667,0,130.68333333333334,3,5,5
13121009503,rail_only,NA,NA,NA,0,0,0
13121009504,bus_rail,25.072222222222223,4.233333333333333,39.28333333333333,3,6,6
13121009504,rail_only,NA,NA,NA,0,0,0
13121009601,bus_rail,13.455555555555556,8,25.5,6,6,6
13121009601,rail_only,10.75,8,13,4,4,4
13121009604,bus_rail,6.963888888888889,1.2833333333333334,13.5,6,6,6
13121009604,rail_only,6.75,4,9,4,4,4
13121009605,bus_rail,24.383333333333333,4.233333333333333,39.28333333333333,3,6,6
13121009605,rail_only,NA,NA,NA,0,0,0
13121009606,bus_rail,25.841666666666665,6.55,41.03333333333333,3,6,6
13121009606,rail_only,NA,NA,NA,0,0,0
13121009607,bus_rail,23.73611111111111,7,91.18333333333334,5,5,5
13121009607,rail_only,9.75,7,12,4,4,4
13121009700,bus_rail,NA,NA,NA,0,0,0
13121009700,rail_only,NA,NA,NA,0,0,0
13121009802,bus_rail,NA,NA,NA,0,0,0
13121009802,rail_only,NA,NA,NA,0,0,0
13121009803,bus_rail,76.6138888888889,21.516666666666666,136.86666666666667,2,2,3
13121009803,rail_only,NA,NA,NA,0,0,0
13121009804,bus_rail,66.51944444444445,12.516666666666667,123.31666666666666,2,2,3
13121009804,rail_only,NA,NA,NA,0,0,0
13121009900,bus_rail,43.93333333333334,23.116666666666667,69.65,2,3,5
13121009900,rail_only,NA,NA,NA,0,0,0
13121010003,bus_rail,13.455555555555556,8,25.5,6,6,6
13121010003,rail_only,10.75,8,13,4,4,4
13121010004,bus_rail,50.61666666666667,29.8,76.33333333333333,1,2,4
13121010004,rail_only,NA,NA,NA,0,0,0
13121010005,bus_rail,NA,NA,NA,0,0,0
13121010005,rail_only,NA,NA,NA,0,0,0
13121010006,bus_rail,12.788888888888888,7,25.5,6,6,6
13121010006,rail_only,9.75,7,12,4,4,4
13121010007,bus_rail,26.627777777777776,10,95.08333333333333,5,5,5
13121010007,rail_only,12.75,10,15,4,4,4
13121011801,bus_rail,8.344444444444445,0,28.566666666666666,6,6,6
13121011801,rail_only,NA,NA,NA,0,0,0
13121011802,bus_rail,7.866666666666667,0,29.6,6,6,6
13121011802,rail_only,0,0,0,2,2,2
13121011901,bus_rail,5.833333333333334,0,19.1,6,6,6
13121011901,rail_only,0.5,0,2,4,4,4
13121011902,bus_rail,9.566666666666666,0.45,22.633333333333333,6,6,6
13121011902,rail_only,2,2,2,2,2,2
13121012000,bus_rail,20.73888888888889,1.2333333333333334,67.93333333333334,4,5,5
13121012000,rail_only,NA,NA,NA,0,0,0
13121980000,bus_rail,73.99429632864295,43.77762966197627,163.3276296619763,0,1,4
13121980000,rail_only,NA,NA,NA,0,0,0
